,NAME,GEO_ID,S1901_C01_012E,S1501_C02_015E,S1701_C03_001E,state,place
312,"McCloud CDP, California",1600000US0644784,34405,16.1,12.8,06,44784
313,"Lompico CDP, California",1600000US0642510,90658,53.6,3.6,06,42510
314,"Long Barn CDP, California",1600000US0642622,-666666666,0.0,0.0,06,42622
315,"Lookout CDP, California",1600000US0643126,-666666666,0.0,0.0,06,43126
316,"Los Berros CDP, California",1600000US0644042,-666666666,15.9,0.9,06,44042
317,"Los Olivos CDP, California",1600000US0644168,103594,47.0,4.3,06,44168
318,"Los Osos CDP, California",1600000US0644182,77807,42.9,9.5,06,44182
319,"Los Ranchos CDP, California",1600000US0644242,180875,71.9,2.6,06,44242
320,"Lucerne Valley CDP, California",1600000US0644420,32789,9.6,35.7,06,44420
321,"Lytle Creek CDP, California",1600000US0644644,40163,20.0,22.1,06,44644
322,"Mabie CDP, California",1600000US0644672,-666666666,0.0,0.0,06,44672
323,"McClellan Park CDP, California",1600000US0644760,21591,19.9,62.5,06,44760
324,"McClenney Tract CDP, California",1600000US0644770,-666666666,23.5,66.0,06,44770
325,"McGee Creek CDP, California",1600000US0644830,-666666666,-666666666.0,-666666666.0,06,44830
326,"McSwain CDP, California",1600000US0645006,101283,36.2,3.3,06,45006
327,"East Whittier CDP, California",1600000US0621292,76373,21.7,8.1,06,21292
328,"Jurupa Valley city, California",1600000US0637692,70642,13.2,13.9,06,37692
329,"Garden Acres CDP, California",1600000US0628182,41385,2.3,21.7,06,28182
330,"Lincoln Village CDP, California",1600000US0641558,69403,33.4,6.3,06,41558
331,"Carlsbad city, California",1600000US0611194,110478,59.5,5.8,06,11194
332,"Martinez city, California",1600000US0646114,107328,41.6,5.1,06,46114
333,"Mountain View CDP, California",1600000US0649651,72222,25.3,4.4,06,49651
334,"Pittsburg city, California",1600000US0657456,74459,21.2,12.9,06,57456
335,"Walnut Creek city, California",1600000US0683346,105948,66.7,5.3,06,83346
336,"China Lake Acres CDP, California",1600000US0613157,-666666666,22.6,34.0,06,13157
337,"Half Moon Bay city, California",1600000US0631708,134177,50.3,5.4,06,31708
338,"Los Banos city, California",1600000US0644028,62874,10.5,18.0,06,44028
339,"Atherton town, California",1600000US0603092,250001,81.9,3.7,06,03092
340,"Daly City city, California",1600000US0617918,94550,37.7,7.6,06,17918
341,"Coulterville CDP, California",1600000US0616644,-666666666,0.0,28.3,06,16644
342,"Avila Beach CDP, California",1600000US0603330,80281,32.9,5.6,06,03330
343,"University of California-Davis CDP, California",1600000US0681302,20855,70.4,62.0,06,81302
344,"Westmorland city, California",1600000US0684606,29730,6.2,33.1,06,84606
345,"Citrus CDP, California",1600000US0613560,78865,12.6,8.0,06,13560
346,"Grenada CDP, California",1600000US0631246,50682,24.1,17.3,06,31246
347,"Norwalk city, California",1600000US0652526,70667,18.7,11.3,06,52526
348,"Taft Heights CDP, California",1600000US0677588,48913,5.4,28.5,06,77588
349,"Biola CDP, California",1600000US0606728,-666666666,12.3,38.5,06,06728
350,"Santa Cruz city, California",1600000US0669112,77921,53.8,20.9,06,69112
351,"Ceres city, California",1600000US0612524,58667,10.2,15.1,06,12524
352,"Hawaiian Gardens city, California",1600000US0632506,49483,10.4,23.9,06,32506
353,"La Puente city, California",1600000US0640340,64592,10.9,13.7,06,40340
354,"Monterey Park city, California",1600000US0648914,61819,31.8,13.0,06,48914
355,"Paramount city, California",1600000US0655618,55670,11.3,16.7,06,55618
356,"San Fernando city, California",1600000US0666140,58425,12.9,11.2,06,66140
357,"Santa Monica city, California",1600000US0670000,96570,67.9,9.9,06,70000
358,"South El Monte city, California",1600000US0672996,52204,10.5,19.3,06,72996
